Key,Description,Standard,GER,KOR
SAY.FinalStage.1.Alice,,Thank you for your efforts.,Danke für Ihre Bemühungen.,당신의 노력에 감사드립니다.
SAY.FinalStage.2.Alice,,I'm thinking of holding an event for the guests who have come so far.,"Ich denke darüber nach, eine Veranstaltung für die Gäste abhalten, die bisher gekommen sind.",지금까지 와 주신 손님들을위한 이벤트를 진행할까 생각 중입니다.
SAY.FinalStage.3.Alice,,What do you think?,Was denken Sie?,어떻게 생각하세요?
MENU.FinalStage.4,,That's good.,Das ist gut.,좋아요.
MENU.FinalStage.5,,It doesn't look good.,Es sieht nicht gut aus.,좋아 보이지 않습니다.
MENU.FinalStage.6,,I don't know,Ich weiß es nicht,모르겠네요.
SAY.FinalStage.14.Alice,,Well..,Gut...,음..
SAY.FinalStage.15.Alice,,"Still, how about doing it for the guests?",Aber wie wäre es damit für die Gäste?,그래도 손님들을 위해 하는 건 어떤가요?
MENU.FinalStage.16,,That's good.,Das ist gut.,좋아요.
MENU.FinalStage.17,,I don't know,Ich weiß es nicht,모르겠네요.
SAY.FinalStage.18.Alice,,"If you're not sure,","Wenn Sie sich nicht sicher sind,","모르시겠다면, "
SAY.FinalStage.20.Alice,,why don't you listen to me and give it a try?,Warum hörst du mir nicht zu und probiert es aus?,제 말 한 번 들어보시는게 어떤가요?
MENU.FinalStage.21,,That's good.,Das ist gut.,좋아요.
SAY.FinalStage.9.Alice,,I knew you'd say that.,"Ich wusste, dass du das sagen würdest.",당신이 그렇게 말할 줄 알았어요.
SAY.FinalStage.10.Alice,,Wait a moment. I'll prepare for the event quickly.,Moment mal. Ich werde mich schnell auf die Veranstaltung vorbereiten.,잠시만요. 빨리 이벤트를 준비하겠습니다.
SAY.FinalStage.11.Alice,,It's done. Let's get started!,Es ist fertig. Lass uns anfangen!,준비 끝났습니다. 시작해보죠!
SAY.FinalStage.27.,,"After the event,","Nach dem Ereignis,","이벤트 후,"
SAY.FinalStage.28.,,I am going to go on vacation for the first time since the cafe opened.,Ich werde zum ersten Mal seit Eröffnung des Cafés Urlaub machen.,카페 오픈 이후 처음으로 휴가를 떠날 예정이다.
SAY.FinalStage.29.,,What should I do?,Was sollte ich tun?,어떻게 해야 할까?
MENU.FinalStage.34,,Visit Sherlock's house,Besuchen Sie Sherlocks Haus,셜록의 집 방문
MENU.FinalStage.37,,Playing with Annie,Mit Annie spielen,애니와 함께 놀기
MENU.FinalStage.40,,Take a plane with Trevor.,Nehmen Sie ein Flugzeug mit Trevor.,트레버와 같이 비행기 타기
SAY.FinalStage.60.,,221B Baker Street... is it here?,221B Baker Street ... ist es hier?,베이커가 221B번지… 여긴가?
SAY.FinalStage.61.,,"Sherlock, it's me.","Sherlock, ich bin es.","셜록, 나야."
SAY.FinalStage.63.,,I'm here to talk to you.,"Ich bin hier, um mit dir zu reden.",같이 얘기하려고 왔어
SAY.FinalStage.64.,,Have an espresso!,Trinken Sie einen Espresso!,에스프레소를 가지고!
SAY.FinalStage.65.Sherlock,,"Oh, look who it is.","Oh, schau wer es ist.","오, 이게 누구야."
SAY.FinalStage.66.Sherlock,,"Nice friend, and nice espresso.",Netter Freund und schöner Espresso.,반가운 친구와 반가운 에스프레소군.
SAY.FinalStage.67.Sherlock,,Welcome!,herzlich willkommen!,어서오게!
SAY.FinalStage.68.Sherlock,,"John, look who's here!","John, schau wer hier ist!","존, 누가 왔는지 봐봐!"
SAY.FinalStage.87.John,,Who is it?,Wer ist es?,누가 왔어?
SAY.FinalStage.74.Sherlock,,"The cafe friend I always told you about,","Der Cafe-Freund, von dem ich dir immer erzählt habe,","늘 말했던 카페 친구,"
SAY.FinalStage.75.Sherlock,,this espresso tastes amazing!,Dieser Espresso schmeckt unglaublich!,이 에스프레소는 진짜 맛있다고!
SAY.FinalStage.89.John,,"Oh yes, nice to meet you.","Oh ja, schön dich zu treffen.","그렇군, 만나서 반갑습니다."
SAY.FinalStage.90.John,,Finally I will try this espresso too.,Zum Schluss werde ich auch diesen Espresso probieren.,"드디어, 이 에스프레소를 먹어보는구만"
SAY.FinalStage.93.John,,I can't wait any longer.,Ich kann es kaum erwarten,"참을 수 없어,"
SAY.FinalStage.78.Sherlock,,"Come on, sit down.","Komm schon, setz dich.","어서, 앉아."
SAY.FinalStage.94.John,,Give me the espresso.,Gib mir den Espresso.,에스프레소 주세요.
SAY.FinalStage.79.John,,I'll pour it into the cup.,Ich werde es in die Tasse gießen.,컵에 따라 올게요.
SAY.FinalStage.82.Sherlock,,"Oh, okay, okay.","Oh, okay, okay.","어, 그래 그래"
SAY.FinalStage.95.Sherlock,,"By the way, my new case was very complicated.",Mein neuer Fall war übrigens sehr kompliziert.,"그건 그렇고, 이번에 내가 새로 맡은 사건, 진짜 복잡했다니깐."
SAY.FinalStage.83.Sherlock,,What it was...,Was es war...,그게 뭐나면…
SAY.FinalStage.86.Sherlock,,"Before that, can you tell me the secret of espresso?",Können Sie mir vorher das Geheimnis des Espressos verraten?,그 전에 에스프레소 비결좀 말해 줄 수 있어?
SAY.FinalStage.97.Sherlock,,I'm really curious.,Ich bin wirklich neugierig.,진짜 궁금하거든.
SAY.FinalStage.100.???,,Who is it?,Wer ist es?,누구시죠?
SAY.FinalStage.101.,,I'm here to see Trevor with toast,"Ich bin hier, um Trevor mit Toast zu sehen.",트레버 보러왔습니다. 토스트 가지고요.
SAY.FinalStage.102.???,,"Oh, you're the owner of a cafe.","Oh, du bist der Besitzer eines Cafés.","오, 카페 사장님이시군요."
